,0
0,Arizona
1,Colorado
2,Connecticut
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Missouri
14,Montana
15,Nebraska
16,New Hampshire
17,New Jersey
18,North Dakota
19,Oklahoma
20,Rhode Island
21,South Dakota
22,Vermont
